time_s,raw_normalised,filtered,r_peak,bpm,hrv_ms
0.0000,-0.031013,0.072497,0,NaN,NaN
0.0080,-0.024176,0.504578,0,NaN,NaN
0.0160,-0.020269,0.834335,0,NaN,NaN
0.0240,-0.016850,0.999263,1,NaN,NaN
0.0320,-0.019780,1.000000,1,NaN,NaN
0.0400,-0.022711,0.892212,1,NaN,NaN
0.0480,-0.023199,0.747828,0,NaN,NaN
0.0560,-0.024664,0.618151,0,NaN,NaN
0.0640,-0.024176,0.525443,0,NaN,NaN
0.0720,-0.026129,0.473122,0,NaN,NaN
0.0800,-0.025641,0.453358,0,NaN,NaN
0.0880,-0.023687,0.449962,0,NaN,NaN
0.0960,-0.025153,0.448888,0,NaN,NaN
0.1040,-0.027595,0.969769,0,NaN,NaN
0.1120,-0.032479,0.916184,0,NaN,NaN
0.1200,-0.038828,0.858674,0,NaN,NaN
0.1280,-0.043223,0.819933,0,NaN,NaN
0.1360,-0.044200,0.813384,0,NaN,NaN
0.1440,-0.043712,0.836064,0,NaN,NaN
0.1520,-0.043223,0.871185,0,NaN,NaN
0.1600,-0.044200,0.895901,0,NaN,NaN
0.1680,-0.046154,0.887863,0,NaN,NaN
0.1760,-0.047619,0.830082,0,NaN,NaN
0.1840,-0.056410,0.717234,0,NaN,NaN
0.1920,-0.066667,0.559583,0,NaN,NaN
0.2000,-0.075458,0.378354,0,NaN,NaN
0.2080,-0.082295,0.181092,0,NaN,NaN
0.2160,-0.085226,0.108432,0,NaN,NaN
0.2240,-0.086691,0.082394,0,NaN,NaN
0.2320,-0.089133,0.090927,0,NaN,NaN
0.2400,-0.091087,0.117674,0,NaN,NaN
0.2480,-0.088645,0.143165,0,NaN,NaN
0.2560,-0.090110,0.148467,0,NaN,NaN
0.2640,-0.093529,0.124568,0,NaN,NaN
0.2720,-0.098901,0.078338,0,NaN,NaN
0.2800,-0.103785,0.028619,0,NaN,NaN
0.2880,-0.108669,-0.004267,0,NaN,NaN
0.2960,-0.110623,-0.009989,0,NaN,NaN
0.3040,-0.110623,0.004987,0,NaN,NaN
