time_s,raw_normalised,filtered,r_peak,bpm,hrv_ms
0.0000,-0.135043,-0.381655,1,NaN,NaN
0.0080,-0.136996,-0.637734,1,NaN,NaN
0.0160,-0.139927,-0.850786,0,NaN,NaN
0.0240,-0.141880,-0.979778,0,NaN,NaN
0.0320,-0.141392,-1.000000,0,NaN,NaN
0.0400,-0.139927,-0.917519,0,NaN,NaN
0.0480,-0.136996,-0.769956,0,NaN,NaN
0.0560,-0.133578,-0.611377,0,NaN,NaN
0.0640,-0.132112,-0.486949,0,NaN,NaN
0.0720,-0.132601,-0.413630,0,NaN,NaN
0.0800,-0.131624,-0.383769,0,NaN,NaN
0.0880,-0.130647,-0.382350,0,NaN,NaN
0.0960,-0.130647,-0.395349,0,NaN,NaN
0.1040,-0.128205,-0.400319,0,NaN,NaN
0.1120,-0.125763,-0.349182,0,NaN,NaN
0.1200,-0.125275,-0.318079,0,NaN,NaN
0.1280,-0.125763,-0.312572,0,NaN,NaN
0.1360,-0.125275,-0.328074,0,NaN,NaN
0.1440,-0.123810,-0.359591,0,NaN,NaN
0.1520,-0.124298,-0.401710,0,NaN,NaN
0.1600,-0.124298,-0.441255,0,NaN,NaN
0.1680,-0.124786,-0.457036,0,NaN,NaN
0.1760,-0.123810,-0.429601,0,NaN,NaN
0.1840,-0.122344,-0.353339,0,NaN,NaN
0.1920,-0.117949,-0.240561,0,NaN,NaN
0.2000,-0.116972,-0.111507,0,NaN,NaN
0.2080,-0.116484,-0.523494,0,NaN,NaN
0.2160,-0.117949,-0.531996,0,NaN,NaN
0.2240,-0.116972,-0.508168,0,NaN,NaN
0.2320,-0.115018,-0.426438,0,NaN,NaN
0.2400,-0.111111,-0.291586,0,NaN,NaN
0.2480,-0.106716,-0.136709,0,NaN,NaN
0.2560,-0.103785,-0.005444,0,NaN,NaN
0.2640,-0.101343,0.069137,0,NaN,NaN
0.2720,-0.101343,0.077123,0,NaN,NaN
0.2800,-0.101343,0.031046,0,NaN,NaN
0.2880,-0.102320,-0.046068,0,NaN,NaN
0.2960,-0.101343,-0.135238,0,NaN,NaN
0.3040,-0.101343,-0.227693,0,NaN,NaN
0.3120,-0.100855,0.814277,0,NaN,NaN
0.3200,-0.099878,0.790495,0,NaN,NaN
0.3280,-0.098901,0.736563,0,NaN,NaN
0.3360,-0.099878,0.642187,0,NaN,NaN
0.3440,-0.101343,0.515427,0,NaN,NaN
0.3520,-0.103785,0.383355,0,NaN,NaN
0.3600,-0.105739,0.280184,0,NaN,NaN
0.3680,-0.105739,0.228277,0,NaN,NaN
0.3760,-0.102808,0.225467,0,NaN,NaN
0.3840,-0.101343,0.252166,0,NaN,NaN
0.3920,-0.101343,0.290993,0,NaN,NaN
0.4000,-0.100366,0.335841,0,NaN,NaN
0.4080,-0.098413,0.384922,0,NaN,NaN
0.4160,-0.096459,0.875013,0,NaN,NaN
0.4240,-0.095971,0.943003,0,NaN,NaN
0.4320,-0.094505,0.990644,0,NaN,NaN
0.4400,-0.094017,1.000000,1,NaN,NaN
0.4480,-0.093040,0.951669,0,NaN,NaN
0.4560,-0.094505,0.837335,0,NaN,NaN
0.4640,-0.100855,0.673744,0,NaN,NaN
0.4720,-0.103785,0.501601,0,NaN,NaN
0.4800,-0.108669,0.366993,0,NaN,NaN
0.4880,-0.107692,0.300715,0,NaN,NaN
0.4960,-0.108669,0.308288,0,NaN,NaN
0.5040,-0.104762,0.372872,0,NaN,NaN
0.5120,-0.104274,0.466711,0,NaN,NaN
0.5200,-0.101343,0.706768,0,NaN,NaN
0.5280,-0.099878,0.839486,0,NaN,NaN
0.5360,-0.096459,0.927288,0,NaN,NaN
0.5440,-0.096947,0.938226,1,NaN,NaN
0.5520,-0.098901,0.852284,0,NaN,NaN
0.5600,-0.101343,0.671612,0,NaN,NaN
0.5680,-0.108669,0.427924,0,NaN,NaN
0.5760,-0.116484,0.180756,0,NaN,NaN
0.5840,-0.120391,-0.001854,0,NaN,NaN
0.5920,-0.122344,-0.068766,0,NaN,NaN
0.6000,-0.123321,-0.001164,0,NaN,NaN
0.6080,-0.116972,0.182170,0,NaN,NaN
0.6160,-0.113553,0.431132,0,NaN,NaN
0.6240,-0.109646,-0.728972,0,NaN,NaN
0.6320,-0.108669,-0.655977,0,NaN,NaN
0.6400,-0.107692,-0.614581,0,NaN,NaN
0.6480,-0.106227,-0.597342,0,NaN,NaN
0.6560,-0.106227,-0.591284,0,NaN,NaN
0.6640,-0.105739,-0.582606,0,NaN,NaN
0.6720,-0.103785,-0.561069,0,NaN,NaN
0.6800,-0.102808,-0.522960,0,NaN,NaN
0.6880,-0.099878,-0.471225,0,NaN,NaN
0.6960,-0.098413,-0.414019,0,NaN,NaN
0.7040,-0.094505,-0.361767,0,NaN,NaN
0.7120,-0.093529,-0.321589,0,NaN,NaN
0.7200,-0.093040,-0.291748,0,NaN,NaN
0.7280,-0.094017,0.256115,0,NaN,NaN
0.7360,-0.095971,0.261210,0,NaN,NaN
0.7440,-0.094017,0.278487,0,NaN,NaN
0.7520,-0.092552,0.306197,0,NaN,NaN
0.7600,-0.092063,0.332446,0,NaN,NaN
0.7680,-0.092063,0.347192,0,NaN,NaN
0.7760,-0.092552,0.347324,0,NaN,NaN
0.7840,-0.092063,0.334344,0,NaN,NaN
0.7920,-0.093040,0.311000,0,NaN,NaN
0.8000,-0.093529,0.279002,0,NaN,NaN
0.8080,-0.093040,0.237550,0,NaN,NaN
0.8160,-0.094505,0.185515,0,NaN,NaN
0.8240,-0.095971,0.125937,0,NaN,NaN
0.8320,-0.096947,0.835411,0,NaN,NaN
0.8400,-0.096947,0.794455,0,NaN,NaN
0.8480,-0.099389,0.725310,0,NaN,NaN
0.8560,-0.101832,0.625459,0,NaN,NaN
0.8640,-0.106716,0.504706,0,NaN,NaN
0.8720,-0.109158,0.380032,0,NaN,NaN
0.8800,-0.112088,0.266656,0,NaN,NaN
0.8880,-0.112576,0.174488,0,NaN,NaN
0.8960,-0.115018,0.112485,0,NaN,NaN
0.9040,-0.116484,0.093022,0,NaN,NaN
0.9120,-0.116484,0.127521,0,NaN,NaN
0.9200,-0.115507,0.215796,0,NaN,NaN
0.9280,-0.112088,0.338827,0,NaN,NaN
0.9360,-0.106716,-0.396866,0,NaN,NaN
0.9440,-0.102808,-0.240619,0,NaN,NaN
0.9520,-0.100855,-0.140022,0,NaN,NaN
0.9600,-0.101343,-0.112219,1,NaN,NaN
0.9680,-0.101343,-0.151175,0,NaN,NaN
0.9760,-0.103785,-0.233836,0,NaN,NaN
0.9840,-0.106227,-0.327889,0,NaN,NaN
0.9920,-0.106716,-0.400955,0,NaN,NaN
1.0000,-0.108669,-0.428512,0,NaN,NaN
1.0080,-0.107204,-0.398722,0,NaN,NaN
1.0160,-0.106227,-0.315202,0,NaN,NaN
1.0240,-0.101832,-0.194677,0,NaN,NaN
1.0320,-0.100855,-0.057563,0,NaN,NaN
1.0400,-0.099389,-0.606993,0,NaN,NaN
1.0480,-0.096459,-0.502002,0,NaN,NaN
1.0560,-0.092063,-0.401808,0,NaN,NaN
1.0640,-0.090110,-0.320449,0,NaN,NaN
1.0720,-0.088156,-0.266446,0,NaN,NaN
1.0800,-0.088156,-0.237067,0,NaN,NaN
1.0880,-0.087668,-0.220991,0,NaN,NaN
1.0960,-0.087179,-0.206461,0,NaN,NaN
1.1040,-0.085714,-0.188942,0,NaN,NaN
1.1120,-0.083761,-0.172555,0,NaN,NaN
1.1200,-0.083272,-0.164169,0,NaN,NaN
1.1280,-0.083272,-0.166222,0,NaN,NaN
1.1360,-0.082784,-0.175273,0,NaN,NaN
1.1440,-0.082784,0.266514,0,NaN,NaN
1.1520,-0.084737,0.191624,0,NaN,NaN
1.1600,-0.086203,0.090306,0,NaN,NaN
1.1680,-0.087179,-0.024281,0,NaN,NaN
1.1760,-0.089133,-0.130559,0,NaN,NaN
1.1840,-0.092552,-0.198668,0,NaN,NaN
1.1920,-0.092063,-0.202281,0,NaN,NaN
1.2000,-0.089133,-0.137322,0,NaN,NaN
1.2080,-0.085714,-0.029948,0,NaN,NaN
1.2160,-0.079853,0.073377,0,NaN,NaN
1.2240,-0.078388,0.128514,0,NaN,NaN
1.2320,-0.077411,0.117604,0,NaN,NaN
1.2400,-0.080342,0.060072,0,NaN,NaN
1.2480,-0.084249,0.375701,0,NaN,NaN
1.2560,-0.085714,0.231867,0,NaN,NaN
1.2640,-0.087668,0.097175,0,NaN,NaN
1.2720,-0.090110,-0.008867,0,NaN,NaN
1.2800,-0.091575,-0.072158,0,NaN,NaN
1.2880,-0.091575,-0.086836,0,NaN,NaN
1.2960,-0.091087,-0.060743,0,NaN,NaN
1.3040,-0.087179,-0.015923,0,NaN,NaN
1.3120,-0.086203,0.021780,0,NaN,NaN
1.3200,-0.086691,0.038747,0,NaN,NaN
1.3280,-0.086691,0.039588,0,NaN,NaN
1.3360,-0.088645,0.037898,0,NaN,NaN
1.3440,-0.086203,0.041012,0,NaN,NaN
1.3520,-0.085714,0.494747,0,NaN,NaN
1.3600,-0.085714,0.431271,0,NaN,NaN
1.3680,-0.090110,0.301442,0,NaN,NaN
1.3760,-0.094994,0.119332,0,NaN,NaN
1.3840,-0.101343,-0.077426,0,NaN,NaN
