time_s,raw_normalised,filtered,r_peak,bpm,hrv_ms
0.0000,-0.049573,0.082250,1,NaN,NaN
0.0080,-0.076923,-0.255876,1,NaN,NaN
0.0160,-0.102808,-0.556048,0,NaN,NaN
0.0240,-0.121856,-0.788383,0,NaN,NaN
0.0320,-0.133089,-0.936731,0,NaN,NaN
0.0400,-0.137973,-1.000000,0,NaN,NaN
0.0480,-0.138950,-0.987875,0,NaN,NaN
0.0560,-0.137485,-0.915373,0,NaN,NaN
0.0640,-0.130159,-0.800588,0,NaN,NaN
0.0720,-0.121856,-0.664332,0,NaN,NaN
0.0800,-0.110623,-0.527257,0,NaN,NaN
0.0880,-0.103297,-0.402781,0,NaN,NaN
0.0960,-0.101832,-0.290226,0,NaN,NaN
0.1040,-0.103785,-0.427180,0,NaN,NaN
0.1120,-0.107692,-0.457396,0,NaN,NaN
0.1200,-0.116484,-0.499426,0,NaN,NaN
0.1280,-0.119902,-0.528083,0,NaN,NaN
0.1360,-0.124298,-0.524323,0,NaN,NaN
0.1440,-0.117949,-0.482601,0,NaN,NaN
0.1520,-0.114530,-0.412250,0,NaN,NaN
0.1600,-0.106716,-0.332311,0,NaN,NaN
0.1680,-0.102808,-0.263411,0,NaN,NaN
0.1760,-0.102320,-0.220738,0,NaN,NaN
0.1840,-0.101832,-0.210553,0,NaN,NaN
0.1920,-0.105739,-0.229687,0,NaN,NaN
0.2000,-0.111600,-0.266274,0,NaN,NaN
0.2080,-0.116972,-0.540807,0,NaN,NaN
0.2160,-0.121368,-0.565226,0,NaN,NaN
0.2240,-0.120391,-0.561853,0,NaN,NaN
0.2320,-0.116972,-0.531945,0,NaN,NaN
0.2400,-0.113553,-0.485992,0,NaN,NaN
0.2480,-0.107692,-0.439078,0,NaN,NaN
0.2560,-0.104274,-0.404921,0,NaN,NaN
0.2640,-0.103785,-0.389520,0,NaN,NaN
0.2720,-0.106716,-0.387500,0,NaN,NaN
0.2800,-0.110134,-0.384829,0,NaN,NaN
0.2880,-0.108669,-0.367184,0,NaN,NaN
0.2960,-0.106716,-0.328557,0,NaN,NaN
0.3040,-0.100855,-0.275033,0,NaN,NaN
0.3120,-0.094017,-0.179665,0,NaN,NaN
0.3200,-0.091087,-0.138717,0,NaN,NaN
0.3280,-0.092063,-0.121828,0,NaN,NaN
0.3360,-0.093529,-0.126980,0,NaN,NaN
0.3440,-0.094017,-0.144857,0,NaN,NaN
0.3520,-0.097924,-0.162911,0,NaN,NaN
0.3600,-0.098901,-0.169292,0,NaN,NaN
0.3680,-0.097436,-0.157581,0,NaN,NaN
0.3760,-0.094505,-0.130049,0,NaN,NaN
0.3840,-0.088645,-0.096582,0,NaN,NaN
0.3920,-0.086203,-0.068994,0,NaN,NaN
0.4000,-0.086203,-0.053719,0,NaN,NaN
0.4080,-0.088156,-0.048076,0,NaN,NaN
0.4160,-0.092063,-0.222320,0,NaN,NaN
0.4240,-0.094505,-0.253637,0,NaN,NaN
0.4320,-0.094994,-0.278216,0,NaN,NaN
