time_s,raw_normalised,filtered,r_peak,bpm,hrv_ms
0.0000,-0.096459,-0.301371,0,NaN,NaN
0.0080,-0.097924,-0.402388,0,NaN,NaN
0.0160,-0.101343,-0.507678,0,NaN,NaN
0.0240,-0.103297,-0.619575,0,NaN,NaN
0.0320,-0.104274,-0.738060,0,NaN,NaN
0.0400,-0.106716,-0.856179,0,NaN,NaN
0.0480,-0.111111,-0.953635,0,NaN,NaN
0.0560,-0.112576,-1.000000,0,NaN,NaN
0.0640,-0.111600,-0.969223,0,NaN,NaN
0.0720,-0.107204,-0.854399,0,NaN,NaN
0.0800,-0.097924,-0.672057,0,NaN,NaN
0.0880,-0.090598,-0.451453,0,NaN,NaN
0.0960,-0.085226,-0.217147,1,NaN,NaN
0.1040,-0.083272,0.555112,0,NaN,NaN
0.1120,-0.083272,0.585681,1,NaN,NaN
0.1200,-0.085714,0.493908,1,NaN,NaN
0.1280,-0.085714,0.313100,0,NaN,NaN
0.1360,-0.090110,0.086462,0,NaN,NaN
0.1440,-0.094505,-0.129959,0,NaN,NaN
0.1520,-0.099389,-0.277430,0,NaN,NaN
0.1600,-0.096947,-0.321421,0,NaN,NaN
0.1680,-0.094994,-0.267909,0,NaN,NaN
0.1760,-0.092063,-0.151415,0,NaN,NaN
0.1840,-0.090110,-0.011455,0,NaN,NaN
0.1920,-0.085714,0.123767,0,NaN,NaN
0.2000,-0.085714,0.246834,0,NaN,NaN
0.2080,-0.085714,0.255001,0,NaN,NaN
0.2160,-0.088156,0.211662,0,NaN,NaN
0.2240,-0.088645,0.179017,0,NaN,NaN
0.2320,-0.087668,0.188409,0,NaN,NaN
0.2400,-0.086203,0.246219,0,NaN,NaN
0.2480,-0.084737,0.334669,0,NaN,NaN
0.2560,-0.080830,0.420310,0,NaN,NaN
0.2640,-0.080830,0.468726,0,NaN,NaN
0.2720,-0.080342,0.460352,0,NaN,NaN
0.2800,-0.081319,0.397034,0,NaN,NaN
0.2880,-0.084249,0.297571,0,NaN,NaN
0.2960,-0.085226,0.184731,0,NaN,NaN
0.3040,-0.085714,0.071135,0,NaN,NaN
0.3120,-0.085226,0.017449,0,NaN,NaN
0.3200,-0.082784,0.031369,0,NaN,NaN
