time_s,raw_normalised,filtered,r_peak,bpm,hrv_ms
0.0000,-0.113553,-0.478072,0,NaN,NaN
0.0080,-0.115507,-0.708418,0,NaN,NaN
0.0160,-0.116972,-0.890873,0,NaN,NaN
0.0240,-0.116972,-0.992013,0,NaN,NaN
0.0320,-0.116484,-1.000000,0,NaN,NaN
0.0400,-0.115507,-0.920571,0,NaN,NaN
0.0480,-0.114530,-0.772467,0,NaN,NaN
0.0560,-0.111600,-0.588717,0,NaN,NaN
0.0640,-0.109646,-0.414806,0,NaN,NaN
0.0720,-0.107692,-0.295535,1,NaN,NaN
0.0800,-0.107692,-0.259045,1,NaN,NaN
0.0880,-0.106227,-0.307356,0,NaN,NaN
0.0960,-0.108181,-0.411151,0,NaN,NaN
0.1040,-0.110623,-0.865191,0,NaN,NaN
0.1120,-0.111600,-0.914762,0,NaN,NaN
0.1200,-0.109158,-0.839220,0,NaN,NaN
0.1280,-0.105739,-0.642666,0,NaN,NaN
0.1360,-0.101343,-0.372865,0,NaN,NaN
0.1440,-0.098413,-0.099186,0,NaN,NaN
0.1520,-0.094017,0.107045,0,NaN,NaN
0.1600,-0.091087,0.191937,1,NaN,NaN
0.1680,-0.092552,0.143945,0,NaN,NaN
0.1760,-0.094994,0.003799,0,NaN,NaN
0.1840,-0.096459,-0.160092,0,NaN,NaN
0.1920,-0.098413,-0.294526,0,NaN,NaN
0.2000,-0.095971,-0.393163,0,NaN,NaN
0.2080,-0.094994,0.535155,0,NaN,NaN
0.2160,-0.093529,0.652279,0,NaN,NaN
0.2240,-0.092552,0.796041,0,NaN,NaN
0.2320,-0.088156,0.927283,0,NaN,NaN
0.2400,-0.086203,1.000000,0,NaN,NaN
0.2480,-0.086691,0.983515,0,NaN,NaN
0.2560,-0.088156,0.881056,0,NaN,NaN
0.2640,-0.091087,0.728021,0,NaN,NaN
0.2720,-0.093529,0.573906,0,NaN,NaN
0.2800,-0.094505,0.459073,0,NaN,NaN
0.2880,-0.094017,0.399490,0,NaN,NaN
0.2960,-0.094017,0.387499,0,NaN,NaN
0.3040,-0.093040,0.401793,0,NaN,NaN
0.3120,-0.089133,0.461167,0,NaN,NaN
0.3200,-0.088156,0.511847,0,NaN,NaN
