time_s,raw_normalised,filtered,r_peak,bpm,hrv_ms
0.0000,-0.005617,0.047761,0,NaN,NaN
0.0080,-0.005128,0.060697,0,NaN,NaN
0.0160,-0.001221,0.164179,0,NaN,NaN
0.0240,0.007570,0.397015,0,NaN,NaN
0.0320,0.010989,0.487562,0,NaN,NaN
0.0400,0.014408,0.578109,0,NaN,NaN
0.0480,0.010501,0.474627,0,NaN,NaN
0.0560,0.005617,0.345274,0,NaN,NaN
0.0640,-0.006105,0.034826,0,NaN,NaN
0.0720,-0.015873,-0.223881,0,NaN,NaN
0.0800,-0.027595,-0.534328,0,NaN,NaN
0.0880,-0.038828,-0.831841,0,NaN,NaN
0.0960,-0.045177,-1.000000,0,NaN,NaN
0.1040,-0.046642,-0.017108,0,NaN,NaN
0.1120,-0.048107,-0.038631,0,NaN,NaN
0.1200,-0.053480,-0.117550,1,NaN,NaN
0.1280,-0.061294,-0.232340,1,NaN,NaN
0.1360,-0.070085,-0.361479,0,NaN,NaN
0.1440,-0.075946,-0.447572,0,NaN,NaN
0.1520,-0.086203,-0.598234,0,NaN,NaN
0.1600,-0.096947,-0.756071,0,NaN,NaN
0.1680,-0.107692,-0.913907,0,NaN,NaN
0.1760,-0.113553,-1.000000,0,NaN,NaN
0.1840,-0.111111,-0.964128,0,NaN,NaN
0.1920,-0.109158,-0.935430,0,NaN,NaN
0.2000,-0.105739,-0.885210,0,NaN,NaN
0.2080,-0.102808,-0.481481,0,NaN,NaN
0.2160,-0.101343,-0.462963,0,NaN,NaN
0.2240,-0.098901,-0.432099,0,NaN,NaN
0.2320,-0.099878,-0.444444,0,NaN,NaN
0.2400,-0.101832,-0.469136,0,NaN,NaN
0.2480,-0.108669,-0.555556,0,NaN,NaN
0.2560,-0.111600,-0.592593,0,NaN,NaN
0.2640,-0.108669,-0.555556,0,NaN,NaN
0.2720,-0.104274,-0.500000,0,NaN,NaN
0.2800,-0.101343,-0.462963,0,NaN,NaN
0.2880,-0.101343,-0.462963,0,NaN,NaN
0.2960,-0.101343,-0.462963,0,NaN,NaN
0.3040,-0.099389,-0.418616,0,NaN,NaN
0.3120,-0.101343,-0.292778,0,NaN,NaN
0.3200,-0.106227,-0.332934,0,NaN,NaN
0.3280,-0.110623,-0.364235,0,NaN,NaN
0.3360,-0.112088,-0.358480,0,NaN,NaN
0.3440,-0.106227,-0.262664,0,NaN,NaN
0.3520,-0.101343,-0.178522,0,NaN,NaN
0.3600,-0.097924,-0.112192,0,NaN,NaN
0.3680,-0.096459,-0.071477,0,NaN,NaN
0.3760,-0.095482,-0.038339,0,NaN,NaN
0.3840,-0.094017,-0.001720,0,NaN,NaN
0.3920,-0.096459,-0.014545,0,NaN,NaN
0.4000,-0.102808,-0.075493,0,NaN,NaN
0.4080,-0.116484,-0.224243,0,NaN,NaN
0.4160,-0.125275,-0.147414,0,NaN,NaN
0.4240,-0.132601,-0.171522,0,NaN,NaN
0.4320,-0.136996,-0.185572,0,NaN,NaN
0.4400,-0.133578,-0.172087,0,NaN,NaN
0.4480,-0.122344,-0.130877,0,NaN,NaN
0.4560,-0.102320,-0.058805,0,NaN,NaN
0.4640,-0.077900,0.028212,0,NaN,NaN
0.4720,-0.053968,0.112530,0,NaN,NaN
0.4800,-0.025153,0.213841,0,NaN,NaN
0.4880,0.008059,0.331072,0,NaN,NaN
0.4960,0.050061,0.480011,0,NaN,NaN
0.5040,0.110134,0.694206,0,NaN,NaN
0.5120,0.195604,1.000000,0,NaN,NaN
0.5200,0.305006,0.278780,0,NaN,NaN
0.5280,0.428571,0.437155,0,NaN,NaN
0.5360,0.552137,0.595286,0,NaN,NaN
0.5440,0.667888,0.742783,0,NaN,NaN
0.5520,0.770940,0.873021,0,NaN,NaN
0.5600,0.843223,0.962158,0,NaN,NaN
0.5680,0.876923,1.000000,1,NaN,NaN
0.5760,0.853480,0.962005,1,NaN,NaN
0.5840,0.779243,0.856521,0,NaN,NaN
0.5920,0.651770,0.680203,0,NaN,NaN
0.6000,0.495971,0.466001,0,NaN,NaN
0.6080,0.331868,0.240467,0,NaN,NaN
0.6160,0.186325,0.039003,0,NaN,NaN
0.6240,0.081807,-0.075232,0,NaN,NaN
0.6320,0.023199,-0.158290,0,NaN,NaN
0.6400,0.008059,-0.184999,0,NaN,NaN
0.6480,0.025153,-0.169821,0,NaN,NaN
0.6560,0.060806,-0.130619,0,NaN,NaN
0.6640,0.097436,-0.090368,0,NaN,NaN
0.6720,0.127717,-0.058692,0,NaN,NaN
0.6800,0.140415,-0.050269,0,NaN,NaN
0.6880,0.136508,-0.063836,0,NaN,NaN
0.6960,0.114530,-0.101452,0,NaN,NaN
0.7040,0.075458,-0.162007,0,NaN,NaN
0.7120,0.031502,-0.229879,0,NaN,NaN
0.7200,-0.013919,-0.300519,0,NaN,NaN
0.7280,-0.054457,-0.241320,0,NaN,NaN
0.7360,-0.086203,-0.287681,0,NaN,NaN
0.7440,-0.103785,-0.316691,0,NaN,NaN
0.7520,-0.110134,-0.331788,0,NaN,NaN
0.7600,-0.111600,-0.340606,0,NaN,NaN
0.7680,-0.110134,-0.345431,0,NaN,NaN
0.7760,-0.107692,-0.348673,0,NaN,NaN
0.7840,-0.102808,-0.348348,0,NaN,NaN
0.7920,-0.101832,-0.352160,0,NaN,NaN
0.8000,-0.107204,-0.362816,0,NaN,NaN
0.8080,-0.116484,-0.376654,0,NaN,NaN
0.8160,-0.119414,-0.380025,0,NaN,NaN
0.8240,-0.119902,-0.376788,0,NaN,NaN
0.8320,-0.116972,-0.267599,0,NaN,NaN
0.8400,-0.115507,-0.254599,0,NaN,NaN
0.8480,-0.114042,-0.238188,0,NaN,NaN
0.8560,-0.113065,-0.219073,0,NaN,NaN
0.8640,-0.108181,-0.192491,0,NaN,NaN
0.8720,-0.108669,-0.170637,0,NaN,NaN
0.8800,-0.114042,-0.154376,0,NaN,NaN
0.8880,-0.116972,-0.136180,0,NaN,NaN
0.8960,-0.118437,-0.118864,0,NaN,NaN
0.9040,-0.116972,-0.101678,0,NaN,NaN
0.9120,-0.109646,-0.081575,0,NaN,NaN
0.9200,-0.103297,-0.066649,0,NaN,NaN
0.9280,-0.100855,-0.059474,0,NaN,NaN
0.9360,-0.098901,-0.044365,0,NaN,NaN
0.9440,-0.093529,-0.036046,0,NaN,NaN
0.9520,-0.092552,-0.032586,0,NaN,NaN
0.9600,-0.093529,-0.030488,0,NaN,NaN
